,time_chunks,lon_chunks,lat_chunks,cpu_times,wall_times,peak_memories,num_chunks,chunk_sizes,array_shape,lon x lat,lonlat_product,time x lon x lat,total_product,num_data_points,norm_cpu_times,norm_peak_memories
1,720,100,50,13.361388246,10.97831892967224,1735.34765625,8.0,2568.0,"(5136,)",100x50,5000,720x100x50,3600000,5136,384.3911953937544,0.3378792165595794
10,120,50,100,20.736618827,19.780797481536865,619.2578125,43.0,477.7674418604651,"(5136,)",50x100,5000,120x50x100,600000,5136,247.67779370630564,0.12057200399143302
27,24,100,50,43.663654112,48.74014472961426,464.45703125,214.0,96.0,"(5136,)",100x50,5000,24x100x50,120000,5136,117.62643563513578,0.09043166496300623
11,1440,50,100,13.397916386999997,8.261350154876709,2524.8203125,4.0,5136.0,"(5136,)",50x100,5000,1440x50x100,7200000,5136,383.34318946664445,0.49159273997274144
30,24,50,100,46.786489704,50.74702596664429,477.00390625,214.0,96.0,"(5136,)",50x100,5000,24x50x100,120000,5136,109.77527984025909,0.09287459233839564
44,6,100,50,111.985120409,115.45395040512084,438.51171875,856.0,24.0,"(5136,)",100x50,5000,6x100x50,30000,5136,45.8632359481504,0.08538000754478194
18,48,100,50,27.253509472,28.347252368927,485.8046875,107.0,192.0,"(5136,)",100x50,5000,48x100x50,240000,5136,188.4527937686953,0.09458814008956386
19,48,50,100,29.072818502,31.114105939865112,485.390625,107.0,192.0,"(5136,)",50x100,5000,48x50x100,240000,5136,176.6598584050831,0.09450752044392523
86,2160,100,50,11.106642642000224,3.809030532836914,2246.56640625,3.0,6848.0,"(5136,)",100x50,5000,2160x100x50,10800000,5136,462.425970254774,0.43741557754088783
0,720,50,100,14.104416659,11.00776219367981,1829.15234375,8.0,2568.0,"(5136,)",50x100,5000,720x50x100,3600000,5136,364.1412561874885,0.3561433691102025
76,1,100,50,553.372693118,570.4276037216187,1282.63671875,5136.0,4.0,"(5136,)",100x50,5000,1x100x50,5000,5136,9.281267514414214,0.2497345636195483
64,12,50,100,50.72191143799978,82.85626006126404,439.6796875,428.0,48.0,"(5136,)",50x100,5000,12x50x100,60000,5136,101.25801363535007,0.08560741579049844
75,2160,50,100,11.68251632700003,4.305805444717407,2242.95703125,3.0,6848.0,"(5136,)",50x100,5000,2160x50x100,10800000,5136,439.6313136862425,0.4367128176109813
83,1,50,100,462.56853613700014,648.1616599559784,1375.68359375,5136.0,4.0,"(5136,)",50x100,5000,1x50x100,5000,5136,11.103219520488219,0.26785116700739875
67,5136,100,50,11.96093833499981,8.678411722183228,2225.70703125,1.0,20544.0,"(5136,)",100x50,5000,5136x100x50,25680000,5136,429.39774925276225,0.4333541727511682
14,1440,100,50,14.096405581999988,11.497722625732422,2662.6015625,4.0,5136.0,"(5136,)",100x50,5000,1440x100x50,7200000,5136,364.34819998072925,0.5184193073403427
29,12,100,100,46.395682734,53.15485644340515,482.91015625,428.0,48.0,"(5136,)",100x100,10000,12x100x100,120000,5136,110.69995519725808,0.09402456313278816
40,5136,100,100,14.101212233000012,6.879828929901123,3419.7578125,1.0,20544.0,"(5136,)",100x100,10000,5136x100x100,51360000,5136,364.22400536463124,0.6658406955802181
37,24,100,100,27.007672534,23.267521142959595,496.2734375,214.0,96.0,"(5136,)",100x100,10000,24x100x100,240000,5136,190.1681825242172,0.09662644811137072
68,1,100,100,362.098899659,319.9461321830749,855.28125,5136.0,4.0,"(5136,)",100x100,10000,1x100x100,10000,5136,14.183970193879999,0.16652672313084113
31,48,100,100,23.22742945599998,19.287930011749268,637.046875,107.0,192.0,"(5136,)",100x100,10000,48x100x100,480000,5136,221.11788175825444,0.12403560650311526
12,720,100,100,14.00849772299999,10.5052011013031,2623.64453125,8.0,2568.0,"(5136,)",100x100,10000,720x100x100,7200000,5136,366.63460290730586,0.5108342155860592
57,2160,100,100,13.394695212999864,5.319656133651733,2696.8671875,3.0,6848.0,"(5136,)",100x100,10000,2160x100x100,21600000,5136,383.43537634327004,0.5250909632982866
3,1440,100,100,17.347796392,11.753284692764282,2572.859375,4.0,5136.0,"(5136,)",100x100,10000,1440x100x100,14400000,5136,296.0606571546162,0.5009461399922118
55,6,100,100,65.30171398300001,88.60997533798218,416.7734375,856.0,24.0,"(5136,)",100x100,10000,6x100x100,60000,5136,78.65030926044382,0.0811474761487539
22,120,100,100,18.890532557,15.755646228790283,802.84375,43.0,477.7674418604651,"(5136,)",100x100,10000,120x100x100,1200000,5136,271.88222378075966,0.15631692951713397
25,48,1152,721,67.885152409,48.38963460922241,2453.0390625,107.0,192.0,"(5136,)",1152x721,830592,48x1152x721,39868416,5136,75.65719185627232,0.4776166398948598
26,6,1152,721,57.563637927,49.33837127685547,1889.8125,856.0,24.0,"(5136,)",1152x721,830592,6x1152x721,4983552,5136,89.2229918913964,0.3679541471962617
69,1,1152,721,55.36015641000017,67.40604615211487,733.71484375,5136.0,4.0,"(5136,)",1152x721,830592,1x1152x721,830592,5136,92.77430435641328,0.1428572515089564
33,120,1152,721,78.12054638100001,58.87824773788452,3751.3359375,43.0,477.7674418604651,"(5136,)",1152x721,830592,120x1152x721,99671040,5136,65.74454785494365,0.7304002993574766
38,12,1152,721,45.34964247599999,25.22704553604126,1223.78125,428.0,48.0,"(5136,)",1152x721,830592,12x1152x721,9967104,5136,113.25337355676137,0.23827516549844235
28,24,1152,721,69.666430237,54.76198148727417,1583.25,214.0,96.0,"(5136,)",1152x721,830592,24x1152x721,19934208,5136,73.72273823314488,0.30826518691588783
