,time_chunks,lon_chunks,lat_chunks,cpu_times,wall_times,peak_memories,num_chunks,chunk_sizes,lonlat_product,total_product,num_data_points,norm_cpu_times,norm_peak_memories,lon x lat,time x lon x lat
27,1440,50,50,4.90916021825,4.2053751945495605,1047.8876953125,4.0,5136.0,2500,3600000,5136.0,5326.812728337218,0.2040279780592874,50x50,1440x50x50
18,12,50,50,42.79985688575,43.358248233795166,330.728515625,428.0,48.0,2500,30000,5136.0,603.3480436844843,0.0643941813911604,50x50,12x50x50
40,2160,50,50,3.236353095750019,1.4656636118888855,1445.3310546875,3.0,6848.0,2500,5400000,5136.0,9496.346646155742,0.2814118097132982,50x50,2160x50x50
68,5136,50,50,3.935620568249988,3.513228476047516,1333.408203125,1.0,20544.0,2500,12840000,5136.0,9188.49619272353,0.2596199772439642,50x50,5136x50x50
59,48,50,50,10.54575291849999,10.56611317396164,350.748046875,107.0,192.0,2500,120000,5136.0,2167.669671815692,0.0682920652015186,50x50,48x50x50
49,24,50,50,17.15062029924999,22.98848521709442,334.697265625,214.0,96.0,2500,60000,5136.0,1186.9356676639704,0.0651669130889797,50x50,24x50x50
77,6,50,50,49.88770083699989,60.61476188898087,408.9833984375,856.0,24.0,2500,15000,5136.0,415.1720761658922,0.0796307239948403,50x50,6x50x50
86,720,50,50,4.547155151999999,3.263684034347534,733.5703125,8.0,2568.0,2500,1800000,5136.0,5544.528082037431,0.1428291106892523,50x50,720x50x50
34,2160,100,50,4.194283635250056,1.6517342925071716,1312.0439453125,3.0,6848.0,5000,10800000,5136.0,3820.2282165943807,0.255460269725954,100x50,2160x100x50
39,2160,50,100,4.403906625249999,1.824145257472992,1335.7509765625,3.0,6848.0,5000,10800000,5136.0,3904.11936699836,0.2600761247201129,50x100,2160x50x100
52,48,100,50,10.73255027225,10.855356216430664,419.8701171875,107.0,192.0,5000,240000,5136.0,1688.9819645959578,0.0817504122249805,100x50,48x100x50
31,1,50,100,180.77172518575009,245.47709023952484,837.6357421875,5136.0,4.0,5000,5000,5136.0,92.72289434323164,0.1630910712981892,50x100,1x50x100
48,24,50,100,18.3021736305,19.818779587745667,387.361328125,214.0,96.0,5000,120000,5136.0,1003.6050967914488,0.0754208193389797,50x100,24x50x100
29,1,100,50,233.1279499935,226.7763630747795,765.6728515625,5136.0,4.0,5000,5000,5136.0,65.48588971989066,0.1490796050550039,100x50,1x100x50
43,24,100,50,17.235041625,18.76646500825882,392.4931640625,214.0,96.0,5000,120000,5136.0,1013.8700231802484,0.0764200085791471,100x50,24x100x50
21,1440,100,50,5.070190334249998,3.997040510177612,1669.5458984375,4.0,5136.0,5000,7200000,5136.0,3377.440935102152,0.325067347826616,100x50,1440x100x50
62,5136,100,50,4.418997391499952,3.20264583826065,1394.916015625,1.0,20544.0,5000,25680000,5136.0,4193.633614911188,0.2715957974347741,100x50,5136x100x50
58,48,50,100,11.407031091500002,12.062936961650848,422.958984375,107.0,192.0,5000,240000,5136.0,1594.0916268999838,0.0823518271758177,50x100,48x50x100
67,5136,50,100,5.149655992250006,7.489994466304779,1407.23828125,1.0,20544.0,5000,25680000,5136.0,3729.5449170746583,0.2739949924552181,50x100,5136x50x100
71,6,100,50,46.75326374675,44.65555226802826,339.400390625,856.0,24.0,5000,30000,5136.0,329.9958275855114,0.0660826305734034,100x50,6x100x50
17,12,50,100,21.051938114249943,30.13509488105774,345.513671875,428.0,48.0,5000,60000,5136.0,754.9706644263927,0.0672729111906152,50x100,12x50x100
12,12,100,50,21.20598764024998,27.36083596944809,324.6826171875,428.0,48.0,5000,60000,5136.0,710.3891414387637,0.0632170204804322,100x50,12x100x50
76,6,50,100,51.7699151405,46.41660678386688,347.13671875,856.0,24.0,5000,30000,5136.0,328.6541514253406,0.0675889249902648,50x100,6x50x100
80,720,100,50,5.049377669,4.196901619434357,1151.3193359375,8.0,2568.0,5000,3600000,5136.0,3928.2518186317393,0.2241665373710085,100x50,720x100x50
8,120,50,100,7.706189161,7.853829801082611,507.5478515625,43.0,477.7674418604651,5000,600000,5136.0,2610.0433980237253,0.0988216221889602,50x100,120x50x100
2,120,100,50,7.050959155000001,6.589649021625519,499.4794921875,43.0,477.7674418604651,5000,600000,5136.0,2610.001269901757,0.097250679943049,100x50,120x100x50
85,720,50,100,5.53156241175,4.464531004428864,1161.9892578125,8.0,2568.0,5000,3600000,5136.0,4276.930189696702,0.2262440143715926,50x100,720x50x100
26,1440,50,100,5.206261648250001,3.4403408765792847,1732.201171875,4.0,5136.0,5000,7200000,5136.0,2914.052263965081,0.3372665833089953,50x100,1440x50x100
61,5136,100,100,6.242723271000004,3.59187650680542,2067.880859375,1.0,20544.0,10000,51360000,5136.0,2321.044346800528,0.4026247779156931,100x100,5136x100x100
20,1440,100,100,6.979739324500001,4.902785897254944,1392.97265625,4.0,5136.0,10000,14400000,5136.0,2356.113755385953,0.2712174174941588,100x100,1440x100x100
70,6,100,100,30.009926109250003,36.795022785663605,339.7578125,856.0,24.0,10000,60000,5136.0,360.4025514105861,0.0661522220599688,100x100,6x100x100
33,2160,100,100,5.584779642249959,2.6853725910186768,1606.904296875,3.0,6848.0,10000,21600000,5136.0,2188.107565795419,0.3128707743136682,100x100,2160x100x100
28,1,100,100,169.94998142825,147.0974194407463,563.2470703125,5136.0,4.0,10000,10000,5136.0,67.1164285066689,0.1096664856527453,100x100,1x100x100
51,48,100,100,9.182993923999994,7.505004644393921,546.3271484375,107.0,192.0,10000,480000,5136.0,1412.862675505515,0.1063721083406347,100x100,48x100x100
79,720,100,100,6.123482822999997,4.449554085731506,1883.1669921875,8.0,2568.0,10000,7200000,5136.0,2118.8560252323805,0.3666602399118964,100x100,720x100x100
42,24,100,100,12.0096011305,10.507858991622925,425.234375,214.0,96.0,10000,240000,5136.0,969.955800837748,0.0827948549454828,100x100,24x100x100
1,120,100,100,7.390071768749999,6.08672833442688,700.0712890625,43.0,477.7674418604651,10000,1200000,5136.0,1933.1730478162767,0.1363067151601441,100x100,120x100x100
11,12,100,100,21.04817651425,22.20720463991165,391.98046875,428.0,48.0,10000,120000,5136.0,556.7918646343758,0.0763201847254672,100x100,12x100x100
30,1,1152,721,51.69809619600003,45.224685966968536,547.828125,5136.0,4.0,830592,830592,5136.0,99.71476150086932,0.1066643545560747,1152x721,1x1152x721
15,12,1152,721,47.03426015125,28.248548924922943,876.908203125,428.0,48.0,830592,9967104,5136.0,109.57775902815976,0.1707375784900701,1152x721,12x1152x721
56,48,1152,721,59.30739593049999,36.40101754665375,1982.2578125,107.0,192.0,830592,39868416,5136.0,87.44753301095174,0.3859536239291277,1152x721,48x1152x721
6,120,1152,721,63.021720316750006,40.857750594615936,4071.9921875,43.0,477.7674418604651,830592,99671040,5136.0,83.44060235180193,0.7928333698403427,1152x721,120x1152x721
46,24,1152,721,56.47924996975,36.47710579633713,1271.91015625,214.0,96.0,830592,19934208,5136.0,92.47036880620834,0.2476460584598909,1152x721,24x1152x721
74,6,1152,721,53.138178938500005,34.88257694244385,1592.17578125,856.0,24.0,830592,4983552,5136.0,97.36035538794135,0.3100030726732866,1152x721,6x1152x721
