,time_chunks,lon_chunks,lat_chunks,cpu_times,wall_times,peak_memories,num_chunks,chunk_sizes,lonlat_product,total_product,num_data_points,norm_cpu_times,norm_peak_memories,norm_wall_times,lon x lat,time x lon x lat
7,120,50,10,90.02430049175,98.41958659887314,403.916015625,1752.0,1896.328767123288,500,60000,830592.0,45828.44106421813,0.0004862989477685,42057.99311718161,50x10,120x50x10
24,1440,10,50,34.50320978775001,29.388676404953003,785.59375,1740.0,1909.406896551724,500,720000,830592.0,29789.77575351183,0.000945823882243,33420.32127327606,10x50,1440x10x50
66,5136,50,10,53.15319577387508,35.54110059142113,1071.869140625,1752.0,1896.328767123288,500,2568000,830592.0,16130.0848840027,0.0012904881585965,24406.84597153357,50x10,5136x50x10
38,2160,50,10,43.827867559125,46.16936373710632,671.3203125,1752.0,1896.328767123288,500,1080000,830592.0,22127.329714362284,0.0008082431717377,21709.713282290984,50x10,2160x50x10
37,2160,10,50,30.8143054787498,22.315166115760803,776.29736328125,1740.0,1909.406896551724,500,1080000,830592.0,30663.85317648221,0.0009346313993889,41010.17210370248,10x50,2160x10x50
47,24,50,10,317.515712369875,308.8790372312069,733.70068359375,1752.0,1896.328767123288,500,12000,830592.0,41209.55078932912,0.0008833466775429,38077.34994543773,50x10,24x50x10
57,48,50,10,175.648771487375,159.79227113723755,498.55517578125,1752.0,1896.328767123288,500,24000,830592.0,47461.620006026016,0.0006002407629513,43294.036115644405,50x10,48x50x10
65,5136,10,50,55.13336984100005,39.42459398508072,1011.17626953125,1740.0,1909.406896551724,500,2568000,830592.0,15420.259417945164,0.0012174163362171,22094.66035437566,10x50,5136x10x50
25,1440,50,10,28.566904155625014,19.832827419042587,606.9951171875,1752.0,1896.328767123288,500,720000,830592.0,37310.50777348534,0.0007307981742991,49827.01620495768,50x10,1440x50x10
55,48,10,50,173.332477456875,156.80724555253985,494.015625,1740.0,1909.406896551724,500,24000,830592.0,47868.2608210478,0.0005947753229022,43863.82297872087,10x50,48x10x50
0,120,100,10,42.24259270837497,52.09576314687728,408.09521484375,876.0,3792.657534246575,1000,120000,830592.0,78577.5158894184,0.0004913305387527,73025.38164810302,100x10,120x100x10
10,12,100,10,311.383366023,312.8604608178139,720.73583984375,876.0,3792.657534246575,1000,12000,830592.0,62220.91912381645,0.0008677375171489,54452.80903230798,100x10,12x100x10
69,6,100,10,432.072391113875,590.5994361341,1225.99072265625,876.0,3792.657534246575,1000,6000,830592.0,40096.023353044446,0.0014760444630531,38197.81640907221,100x10,6x100x10
19,1440,100,10,32.382402867875,31.41156479716301,762.33837890625,876.0,3792.657534246575,1000,1440000,830592.0,34806.55586343851,0.0009178253329026,38650.83877734693,100x10,1440x100x10
44,24,10,100,154.26928180099998,167.96651130914688,681.30810546875,928.0,3580.1379310344832,1000,24000,830592.0,75512.59868246249,0.0008202680804399,66671.2039239433,10x100,24x10x100
23,1440,10,100,32.032075006,31.253171771764755,747.70361328125,928.0,3580.1379310344832,1000,1440000,830592.0,35162.376868026215,0.0009002056524518,38220.90589276327,10x100,1440x10x100
13,12,10,100,334.101675437,324.01579985022545,735.953125,928.0,3580.1379310344832,1000,12000,830592.0,60724.47109098453,0.0008860585281341,60241.8120429087,10x100,12x10x100
