,time_chunks,lon_chunks,lat_chunks,cpu_times,wall_times,peak_memories,num_chunks,chunk_sizes,array_shape,lon x lat,lonlat_product,time x lon x lat,total_product,num_data_points,norm_cpu_times,norm_peak_memories,norm_wall_times
66,12,50,100,19.302885962,24.25883817672729,365.40234375,428.0,48.0,"(5136,)",50x100,5000,12x50x100,60000,5136,266.0742031067696,0.07114531615070094,211.71665199231265
15,1440,50,100,4.824857801000004,3.321181535720825,2378.23828125,4.0,5136.0,"(5136,)",50x100,5000,1440x50x100,7200000,5136,1064.4873303697175,0.463052624853972,1546.4375990170886
20,48,100,50,10.432152213,9.958685874938965,448.23828125,107.0,192.0,"(5136,)",100x50,5000,48x100x50,240000,5136,492.3241048572687,0.08727380865459501,515.7306962482616
23,48,50,100,11.567474072,12.145811080932615,452.83984375,107.0,192.0,"(5136,)",50x100,5000,48x50x100,240000,5136,444.0035886859778,0.08816975150895638,422.86183819068856
47,6,50,100,52.176180901,48.21927428245544,349.0,856.0,24.0,"(5136,)",50x100,5000,6x50x100,30000,5136,98.43572126800802,0.06795171339563863,106.51342386272145
5,720,50,100,5.722233741,5.113797664642334,1417.76171875,8.0,2568.0,"(5136,)",50x100,5000,720x50x100,3600000,5136,897.5515912956132,0.27604394835475077,1004.3416530753997
30,12,100,100,19.889305692,20.800123453140262,397.23828125,428.0,48.0,"(5136,)",100x100,10000,12x100x100,120000,5136,258.229225269831,0.07734390211253894,246.92161138229213
60,2160,100,100,5.249570673999983,2.624508857727051,2168.01171875,3.0,6848.0,"(5136,)",100x100,10000,2160x100x100,21600000,5136,978.3657214936691,0.4221206617503894,1956.9375751499729
36,5136,100,100,7.258029216000012,3.4190189838409424,2349.640625,1.0,20544.0,"(5136,)",100x100,10000,5136x100x100,51360000,5136,707.63010827759,0.4574845453660436,1502.1852830516293
24,120,100,100,6.071030596,5.042277574539185,789.09375,43.0,477.7674418604651,"(5136,)",100x100,10000,120x100x100,1200000,5136,845.9848651370559,0.1536397488317757,1018.5873197330634
34,24,100,100,11.634632605999997,10.990989446640016,439.74609375,214.0,96.0,"(5136,)",100x100,10000,24x100x100,240000,5136,441.4406689001385,0.08562034535630841,467.29186893815944
4,1440,100,100,6.400649482,4.508893013000488,1792.828125,4.0,5136.0,"(5136,)",100x100,10000,1440x100x100,14400000,5136,802.4185693098074,0.3490708966121495,1139.0822503863753
71,1,100,100,170.181961643,146.43448710441592,552.58984375,5136.0,4.0,"(5136,)",100x100,10000,1x100x100,10000,5136,30.179461738571728,0.107591480480919,35.07370498274595
59,6,100,100,24.992697712,31.43905806541443,343.51953125,856.0,24.0,"(5136,)",100x100,10000,6x100x100,60000,5136,205.50002481460814,0.06688464393496885,163.36367296099198
29,48,100,100,7.669788972999996,5.711171627044678,577.4921875,107.0,192.0,"(5136,)",100x100,10000,48x100x100,480000,5136,669.6403275344721,0.11244006765965732,899.2900818597343
16,720,100,100,5.610206116999997,3.940868854522705,2341.12890625,8.0,2568.0,"(5136,)",100x100,10000,720x100x100,7200000,5136,915.4743859475926,0.4558272792542835,1303.2659014028627
41,6,1152,721,57.230181437000006,33.317058801651,1401.0859375,856.0,24.0,"(5136,)",1152x721,830592,6x1152x721,4983552,5136,89.74285719596747,0.2727971062110592,154.15526414190828
72,1,1152,721,52.49783521099994,39.775995969772346,509.62109375,5136.0,4.0,"(5136,)",1152x721,830592,1x1152x721,830592,5136,97.83260546567922,0.09922529083917446,129.12310238323354
37,24,1152,721,54.43582494,34.3949556350708,1189.97265625,214.0,96.0,"(5136,)",1152x721,830592,24x1152x721,19934208,5136,94.34963106852845,0.23169249537577882,149.32422226365892
39,48,1152,721,60.450255713,38.16207981109618,1996.59375,107.0,192.0,"(5136,)",1152x721,830592,48x1152x721,39868416,5136,84.96241975193975,0.3887448890186916,134.5838598269121
40,120,1152,721,61.046104751,33.25538110733032,4857.0078125,43.0,477.7674418604651,"(5136,)",1152x721,830592,120x1152x721,99671040,5136,84.13313217852556,0.9456790912188473,154.44117099196004
49,12,1152,721,45.747217077,28.385173082351685,783.07421875,428.0,48.0,"(5136,)",1152x721,830592,12x1152x721,9967104,5136,112.26912429132634,0.15246772171923675,180.93953435123768
